dt,kabupaten,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,estimasi_kerugian_rumah,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,fasum_rusak,jembatan_rusak,kantor_rusak
2021-08-05 00:01:00,Kota Adm. Jakarta Selatan,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-23 07:00:00,Kota Adm. Jakarta Timur,1,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-21 00:01:00,Kota Adm. Jakarta Selatan,1,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-18 00:01:00,Kota Adm. Jakarta Barat,1,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-17 01:00:00,Kota Adm. Jakarta Timur,1,0,0,0,1056,0,0,0,0,342,342,0,0,0,0,0,0
2021-04-28 00:01:00,Kota Adm. Jakarta Timur,1,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-20 03:00:00,Kota Adm. Jakarta Selatan,0.25,2,1,0,6963,19,0,0,0,0,0,0,0,0,0,0,0
2021-02-20 03:00:00,Kota Adm. Jakarta Timur,0.25,0,0,0,8953,1361,0,0,0,0,0,0,0,0,0,0,0
2021-02-20 03:00:00,Kota Adm. Jakarta Barat,0.25,3,0,0,8988,1380,0,0,0,0,0,0,0,0,0,0,0
2021-02-20 00:01:00,Kota Adm. Jakarta Timur,0.25,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19 12:00:00,Kota Adm. Jakarta Timur,0.333333333,0,0,0,3100,694,0,0,0,0,0,0,0,0,0,0,0
2021-02-19 00:01:00,Kota Adm. Jakarta Selatan,0.333333333,0,0,0,1488,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19 00:01:00,Kota Adm. Jakarta Timur,0.333333333,0,0,0,2957,0,0,0,0,0,0,0,0,0,0,0,0
